location,lat,lon
"ngong rd karen, karen, nairobi",-1.3229455,36.7066145
"marist ln nairobi, karen, nairobi",-1.3396691,36.7322612
"karigacha karen, karen, nairobi",-1.3086727,36.6934855
"nairobi nairobi county, westlands, nairobi",-1.2747857,36.8136523
"e church rd nairobi, westlands, nairobi",-1.2686662,36.8161377
"parklands nairobi, parklands, nairobi",-1.2567061,36.8003317
"oloitoktok rd nairobi, kileleshwa, nairobi",-1.2898568,36.7778893
"comboni cl nairobi, karen, nairobi",-1.3479734,36.746636
"marula ln nairobi, karen, nairobi",-1.3381641,36.7121011
"kerarapon drive karen, karen, nairobi",-1.324508,36.6682514
"mukinduri rd nairobi, karen, nairobi",-1.3300974,36.7622059
"nairobi karen, karen, nairobi",-1.3225818,36.705933
"three d ln karen, karen, nairobi",-1.3005366,36.692481
"langata s rd nairobi, karen, nairobi",-1.364582,36.7453047
"mandera rd kileleshwa, kileleshwa, nairobi",-1.2755252,36.7948777
"jacob chege dr nairobi, karen, nairobi",-1.3588352,36.7332779
"argwings kodhek rd kilimani, kilimani, nairobi",-1.2937907,36.7965003
"kindaruma rd kilimani, kilimani, nairobi",-1.297874,36.7900007
"kasuku dr nairobi, karen, nairobi",-1.3511932,36.7294311
"lavington, lavington, nairobi",-1.2690958,36.7753021
"othaya rd nairobi, kileleshwa, nairobi",-1.285344,36.7749715
"link rd karen, karen, nairobi",-1.3188275,36.7015458
"langata n rd nairobi, karen, nairobi",-1.3390336,36.7512004
"roysambu, nairobi",-1.2188396,36.8867392
"windy ridge karen, karen, nairobi",-1.3103673,36.6919654
"academy road nairobi, karen, nairobi",-1.3263509,36.7539294
"bogani rd nairobi, karen, nairobi",-1.3535613,36.7408648
"karen, nairobi",-1.3283746,36.7049676
"ridgeways, fourways junction, nairobi",-1.2155052,36.8509897
"kyuna rd nairobi, kyuna, nairobi",-1.237968,36.7386335
"mukoma rd nairobi, karen, nairobi",-1.3727076,36.7627514
"miotoni rd karen, karen, nairobi",-1.3119425,36.7140584
"banda ln nairobi, karen, nairobi",-1.3679298,36.7620135
"karen karen, karen, nairobi",-1.3225818,36.705933
"rhino park rd karen, karen, nairobi",-1.306794,36.6788098
"kyuna, nairobi",-1.2512727,36.7801124
"loresho crescent loresho, loresho, nairobi",-1.2489768,36.7531075
"hardy nairobi, karen, nairobi",-1.3711431,36.7434592
"karen hardy langata, karen, nairobi",-1.3753869,36.744518
"kuwinda rd nairobi, karen, nairobi",-1.3351901,36.74796
"nzohe road nairobi, karen, nairobi",-1.3581983,36.7365124
"tree ln nairobi, karen, nairobi",-1.3315596,36.7042744
"nyari kitisuru, nyari, nairobi",-1.2420498,36.7915593
"gigiri, nairobi",-1.2325029,36.8072952
"spring valley, nairobi",-1.2533393,36.7929369
"muthaiga nairobi, muthaiga, nairobi",-1.2497926,36.821167
"runda, nairobi",-1.2182119,36.8089887
"lower plains rd nairobi, karen, nairobi",-1.3261725,36.718193
"nyari, nairobi",-1.230071,36.7882606
"karen brooks rd nairobi, karen, nairobi",-1.3309608,36.7103061
"nandi rd karen, karen, nairobi",-1.3202058,36.7079643
"elgeyo rd kilimani, kilimani, nairobi",-1.2926217,36.7789159
"kitisuru nairobi, kitisuru, nairobi",-1.2405004,36.7501687
"dennis pritt road kilimani, kilimani, nairobi",-1.2855317,36.7880775
"ndege rd nairobi, karen, nairobi",-1.3374363,36.7235048
"roselyn, nairobi",-1.2162976,36.7928637
"karen plains rd nairobi, karen, nairobi",-1.3294344,36.7199061
"muthaiga, nairobi",-1.2530907,36.8301036
