source,listing_type,title,price,location,bedrooms,url,scraped_at,bedroom_label,price_no,price_normalized,price_per_bedroom,avg_price,avg_price_per_bedroom,count
Property24,Sale,,KSh 14 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930365,2026-02-17T14:48:50.237700,2 Bedrooms,14800000.0,14800000.0,7400000.0,17000000.0,6134833.333333334,10.0
Property24,Sale,,KSh 9 700 000,"Riara Rd Maziwa, Kilimani, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930428,2026-02-17T14:48:50.258467,2 Bedrooms,9700000.0,9700000.0,4850000.0,17000000.0,6134833.333333334,10.0
Property24,Sale,,KSh 11 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930412,2026-02-17T14:48:50.278975,2 Bedrooms,11800000.0,11800000.0,5900000.0,17000000.0,6134833.333333334,10.0
Property24,Sale,,KSh 12 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930393,2026-02-17T14:48:50.300078,2 Bedrooms,12800000.0,12800000.0,6400000.0,17000000.0,6134833.333333334,10.0
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931390,2026-02-17T14:48:50.314794,2 Bedrooms,9210000.0,9210000.0,4605000.0,6153076.923076923,4250961.538461538,13.0
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931375,2026-02-17T14:48:50.328757,2 Bedrooms,9210000.0,9210000.0,4605000.0,6153076.923076923,4250961.538461538,13.0
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931358,2026-02-17T14:48:50.336200,2 Bedrooms,9210000.0,9210000.0,4605000.0,6153076.923076923,4250961.538461538,13.0
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931342,2026-02-17T14:48:50.350417,2 Bedrooms,7150000.0,7150000.0,3575000.0,6153076.923076923,4250961.538461538,13.0
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931337,2026-02-17T14:48:50.353694,2 Bedrooms,7150000.0,7150000.0,3575000.0,6153076.923076923,4250961.538461538,13.0
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931318,2026-02-17T14:48:50.365569,2 Bedrooms,7150000.0,7150000.0,3575000.0,6153076.923076923,4250961.538461538,13.0
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",1.0,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116931274,2026-02-17T14:48:50.369100,1 Bedrooms,5110000.0,5110000.0,5110000.0,6153076.923076923,4250961.538461538,13.0
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",1.0,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116931260,2026-02-17T14:48:50.378884,1 Bedrooms,5110000.0,5110000.0,5110000.0,6153076.923076923,4250961.538461538,13.0
Property24,Sale,,KSh 26 500 000,"Riara Rd Maziwa, Kilimani, Nairobi",4.0,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116930331,2026-02-17T14:48:50.385247,4 Bedrooms,26500000.0,26500000.0,6625000.0,17000000.0,6134833.333333334,10.0
Property24,Sale,,KSh 28 200 000,"Riara Rd Maziwa, Kilimani, Nairobi",5.0,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-116930326,2026-02-17T14:48:50.389578,5 Bedrooms,28200000.0,28200000.0,5640000.0,17000000.0,6134833.333333334,10.0
Property24,Sale,,KSh 15 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",3.0,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116930355,2026-02-17T14:48:50.401540,3 Bedrooms,15800000.0,15800000.0,5266666.666666667,17000000.0,6134833.333333334,10.0
Property24,Sale,,KSh 13 600 000,"Riverside Dr Nairobi, Riverside, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-101739083,2026-02-17T14:48:50.404804,2 Bedrooms,13600000.0,13600000.0,6800000.0,13047500.0,6178333.333333334,10.0
Property24,Sale,,KSh 27 500 000,"Westlands, Westlands, Nairobi",4.0,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116933194,2026-02-17T14:48:50.414751,4 Bedrooms,27500000.0,27500000.0,6875000.0,18840555.555555556,7034629.62962963,18.0
Property24,Sale,,KSh 27 500 000,"Westlands, Westlands, Nairobi",4.0,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116933098,2026-02-17T14:48:50.418119,4 Bedrooms,27500000.0,27500000.0,6875000.0,18840555.555555556,7034629.62962963,18.0
Property24,Sale,,KSh 13 600 000,"Riverside Dr Nairobi, Riverside, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-116930230,2026-02-17T14:48:50.421567,2 Bedrooms,13600000.0,13600000.0,6800000.0,13047500.0,6178333.333333334,10.0
Property24,Sale,,KSh 21 000 000,"Riverside Dr Nairobi, Riverside, Nairobi",3.0,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-116931022,2026-02-17T14:48:50.429263,3 Bedrooms,21000000.0,21000000.0,7000000.0,13047500.0,6178333.333333334,10.0
Property24,Sale,,KSh 15 600 000,"Riverside Dr Nairobi, Riverside, Nairobi",2.0,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-116930220,2026-02-17T14:48:50.435683,2 Bedrooms,15600000.0,15600000.0,7800000.0,13047500.0,6178333.333333334,10.0
Property24,Sale,,KSh 21 000 000,"Riverside Dr Nairobi, Riverside, Nairobi",3.0,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-116930216,2026-02-17T14:48:58.443168,3 Bedrooms,21000000.0,21000000.0,7000000.0,13047500.0,6178333.333333334,10.0
